Number,level1,level2,level3,level4,level5
1,0.0 (%),31.0 (%),69.0 (%),0.0 (%),0.0 (%)
2,0.0 (%),44.0 (%),56.0 (%),0.0 (%),0.0 (%)
3,0.0 (%),58.8 (%),41.2 (%),0.0 (%),0.0 (%)
4,0.0 (%),41.4 (%),58.1 (%),0.5 (%),0.0 (%)
5,0.0 (%),56.7 (%),43.3 (%),0.0 (%),0.0 (%)
6,0.0 (%),67.3 (%),32.2 (%),0.6 (%),0.0 (%)
7,0.0 (%),55.4 (%),44.6 (%),0.0 (%),0.0 (%)
8,0.0 (%),45.2 (%),54.8 (%),0.0 (%),0.0 (%)
9,0.0 (%),78.0 (%),22.0 (%),0.0 (%),0.0 (%)
10,0.0 (%),94.3 (%),5.7 (%),0.0 (%),0.0 (%)
11,0.0 (%),88.2 (%),11.8 (%),0.0 (%),0.0 (%)
12,10.4 (%),85.2 (%),4.4 (%),0.0 (%),0.0 (%)
13,2.0 (%),91.8 (%),6.1 (%),0.0 (%),0.0 (%)
